分类,学院/单位,官方网址,文件夹
人文社科类,文学院,https://wxy.henu.edu.cn,01_人文社科类/文学院
人文社科类,历史文化学院,https://lsxy.henu.edu.cn,01_人文社科类/历史文化学院
人文社科类,教育学部,https://jykx.henu.edu.cn,01_人文社科类/教育学部
人文社科类,哲学与公共管理学院,https://zgy.henu.edu.cn,01_人文社科类/哲学与公共管理学院
人文社科类,马克思主义学院,https://marxism.henu.edu.cn,01_人文社科类/马克思主义学院
人文社科类,法学院（知识产权学院）,https://fxy.henu.edu.cn,01_人文社科类/法学院（知识产权学院）
人文社科类,纪检监察学院,https://jjjcxy.henu.edu.cn,01_人文社科类/纪检监察学院
人文社科类,经济学院,https://jjxy.henu.edu.cn,01_人文社科类/经济学院
人文社科类,商学院,https://sba.henu.edu.cn,01_人文社科类/商学院
人文社科类,高级金融学院,https://aif.henu.edu.cn,01_人文社科类/高级金融学院
人文社科类,新闻与传播学院／出版学院,https://hdxc.henu.edu.cn,01_人文社科类/新闻与传播学院／出版学院
人文社科类,文化旅游学院,https://wlxy.henu.edu.cn,01_人文社科类/文化旅游学院
人文社科类,外语学院（高级翻译学院）,https://wy.henu.edu.cn,01_人文社科类/外语学院（高级翻译学院）
人文社科类,体育学院（体委办公室）,https://tyxy.henu.edu.cn,01_人文社科类/体育学院（体委办公室）
人文社科类,武术学院,https://wsxy.henu.edu.cn,01_人文社科类/武术学院
人文社科类,音乐学院,https://cm.henu.edu.cn,01_人文社科类/音乐学院
人文社科类,美术学院,https://msxy.henu.edu.cn,01_人文社科类/美术学院
人文社科类,大学外语教研部,https://wyb.henu.edu.cn,01_人文社科类/大学外语教研部
自然科学类,数学与统计学院,https://maths.henu.edu.cn,02_自然科学类/数学与统计学院
自然科学类,物理与电子学院,https://phye.henu.edu.cn,02_自然科学类/物理与电子学院
自然科学类,化学与分子科学学院,https://ccce.henu.edu.cn,02_自然科学类/化学与分子科学学院
自然科学类,纳米科学与材料工程学院,https://lab.henu.edu.cn,02_自然科学类/纳米科学与材料工程学院
自然科学类,地理科学与工程学部,https://fgse.henu.edu.cn,02_自然科学类/地理科学与工程学部
自然科学类,生命科学学院,https://bio.henu.edu.cn,02_自然科学类/生命科学学院
自然科学类,农学院,https://nxy.henu.edu.cn,02_自然科学类/农学院
工程技术类,新能源与智能制造学院,https://energy.henu.edu.cn,03_工程技术类/新能源与智能制造学院
工程技术类,柔性电子学院,https://sofe.henu.edu.cn,03_工程技术类/柔性电子学院
工程技术类,计算机与信息工程学院,https://cs.henu.edu.cn,03_工程技术类/计算机与信息工程学院
工程技术类,软件学院,https://software.henu.edu.cn,03_工程技术类/软件学院
工程技术类,人工智能学院,https://ai.henu.edu.cn,03_工程技术类/人工智能学院
工程技术类,建筑工程学院,https://tujian.henu.edu.cn,03_工程技术类/建筑工程学院
工程技术类,未来技术学院,https://future.henu.edu.cn,03_工程技术类/未来技术学院
工程技术类,合成生物与制药工程学院（筹）,https://ktyw.henu.edu.cn,03_工程技术类/合成生物与制药工程学院（筹）
工程技术类,低空技术与空天信息学院（筹）,,03_工程技术类/低空技术与空天信息学院（筹）
医学科学类,医学院,https://med.henu.edu.cn,04_医学科学类/医学院
医学科学类,基础医学院,https://bms.henu.edu.cn,04_医学科学类/基础医学院
医学科学类,药学院,https://yxy.henu.edu.cn,04_医学科学类/药学院
医学科学类,护理与健康学院,https://hlyjkxy.henu.edu.cn,04_医学科学类/护理与健康学院
医学科学类,第一临床医学院（第一附属医院）,https://www.hdyfy.cn,04_医学科学类/第一临床医学院（第一附属医院）
医学科学类,第二临床医学院（淮河医院）,https://www.huaihe.com.cn,04_医学科学类/第二临床医学院（淮河医院）
医学科学类,河南省人民医院培养单位,https://www.hnsrmyy.net,04_医学科学类/河南省人民医院培养单位
医学科学类,口腔医学院,https://henuss.henu.edu.cn,04_医学科学类/口腔医学院
国际合作类,国际教育学院（丝绸之路学院）,https://dwhy.henu.edu.cn,05_国际合作类/国际教育学院（丝绸之路学院）
国际合作类,阿斯顿国际学院（原迈阿密学院）,https://aiihu.henu.edu.cn,05_国际合作类/阿斯顿国际学院（原迈阿密学院）
国际合作类,欧亚国际学院,https://oy.henu.edu.cn,05_国际合作类/欧亚国际学院
国际合作类,国际（欧美）理工学院,https://ist.henu.edu.cn,05_国际合作类/国际（欧美）理工学院
